,year,country_of_production,coffee_bean,water_shortage_index,department,municipality_of_export,exporter,exporter_group,importer,importer_group,country_of_destination,economic_bloc,volume,fob,department_trase_id
1879,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,PARAGON COFFEE TRADING,PARAGON COFFEE TRADING,CANADA,CANADA,38.521,197818.81,CO-00
1880,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,DESCAFEINADORA COLOMBIANA S A S,DESCAFEINADORA COLOMBIANA S A S,INTL COFFEE,INTL COFFEE,UNITED STATES,UNITED STATES,38.52,139143.29,CO-00
1881,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,OLAM,OLAM,WESOURCE ENTERPRISE CO LTD,WESOURCE ENTERPRISE CO LTD,TAIWAN,TAIWAN,38.52,152924.41,CO-00
1882,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SUCAFINA COLOMBIA S A S,SUCAFINA COLOMBIA S A S,NKG BERO ITALIA SPA,NKG BERO ITALIA SPA,GERMANY,EUROPEAN UNION,38.52,180669.94,CO-00
1883,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,BANCA EXPORTADORA S A,BANCA EXPORTADORA S A,NV SUPREMO SA,NV SUPREMO SA,BELGIUM,EUROPEAN UNION,38.52,202112.44,CO-00
1884,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,CIA CAFETERA LA MESETA S A,CIA CAFETERA LA MESETA S A,INICIATIVAS COMERCIALES NAVARRAS SA,INICIATIVAS COMERCIALES NAVARRAS SA,GERMANY,EUROPEAN UNION,38.519,147334.44,CO-00
1885,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SKN CARIBECAFE LTD,SKN CARIBECAFE LTD,GSC INTERNATIONAL CO LTDA,GSC INTERNATIONAL CO LTDA,SOUTH KOREA,SOUTH KOREA,38.518,190426.81,CO-00
1886,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,RACAFE & CIA S C A,RACAFE & CIA S C A,SUCAFINA SA,SUCAFINA SA,UNITED STATES,UNITED STATES,38.518,170684.27,CO-00
1887,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,MINA RICCA SAS,MINA RICCA SAS,SUCAFINA SA,SUCAFINA SA,UNITED STATES,UNITED STATES,38.517,207991.8,CO-00
1888,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,INCONEXUS S A S,INCONEXUS S A S,COFFEE BEANS COMPANY LTDA,COFFEE BEANS COMPANY LTDA,SAUDI ARABIA,SAUDI ARABIA,38.517,279835.98,CO-00
1889,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,CIA CAFETERA LA MESETA S A,CIA CAFETERA LA MESETA S A,SOBHY NACHLY AND SONS LTD,SOBHY NACHLY AND SONS LTD,ISRAEL,ISRAEL,38.516,158786.14,CO-00
1890,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,ALTAMIRA SUPREMO S A S,ALTAMIRA SUPREMO S A S,INTERAMERICAN COFFEE LTD THE ZEPPELIN BUILDING,INTERAMERICAN COFFEE LTD THE ZEPPELIN BUILDING,UNITED KINGDOM,EUROPEAN UNION,38.515,208327.16,CO-00
1891,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,DESCAFEINADORA COLOMBIANA S A S,DESCAFEINADORA COLOMBIANA S A S,INTER AMERICAN COFFEE INC,INTER AMERICAN COFFEE INC,UNITED STATES,UNITED STATES,38.513000000000005,224289.33,CO-00
1892,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,OLAM,OLAM,B R KOREA CO LTDA,B R KOREA CO LTDA,SOUTH KOREA,SOUTH KOREA,38.513000000000005,225301.05,CO-00
1893,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,CARCAFE LTD,CARCAFE LTD,ITOCHU CORPORATION,ITOCHU,JAPAN,JAPAN,38.512,224992.59,CO-00
1894,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,CIA CAFETERA LA MESETA S A,CIA CAFETERA LA MESETA S A,INICIATIVAS COMERCIALES NAVARRAS SA,INICIATIVAS COMERCIALES NAVARRAS SA,SPAIN,EUROPEAN UNION,38.510000000000005,142527.8,CO-00
1895,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,COMPANIA COLOMBIANA AGROINDUSTRIAL SAS,COMPANIA COLOMBIANA AGROINDUSTRIAL SAS,ECOM,ECOM,GERMANY,EUROPEAN UNION,38.51,147979.22,CO-00
1896,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,CIA CAFETERA LA MESETA S A,CIA CAFETERA LA MESETA S A,ROTHFOS CORP,ROTHFOS CORP,MEXICO,MEXICO,38.51,155789.94,CO-00
1897,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,ECOLSIERRA EXPORT S A S,ECOLSIERRA EXPORT S A S,SUSTAINABLE HARVEST INC,SUSTAINABLE HARVEST INC,CANADA,CANADA,38.509,161301.25,CO-00
