,year,country_of_wood_production,province_of_wood_production,pulp_wood_source,wood_supplier,wood_supplier_corporate_group,pulp_mill,pulp_mill_corporate_group,zero_deforestation_indonesia_wood_pulp,product_type,pulp_grade,province_of_pulp_export,importer,importer_corporate_group,country_of_importer,country_of_destination,volume,annual_woodpulp_deforestation,burned_area,co2_total_emissions_wood_pulp_exposure,concession_area,concession_deforestation,deforestation_on_peat,land_use,peat_area,remaining_forest,wood_pulp_deforestation_10_year_total_exposure,wood_pulp_production_volume_m3,province_of_wood_production_trase_id,wood_supplier_trase_id,co2_emissions_wood_pulp_burned_peat_exposure,co2_emissions_wood_pulp_subsidence_co2_exposure,co2_gross_emissions_wood_pulp_deforestation_exposure,co2_net_emissions_wood_pulp_deforestation_exposure
559,2022,INDONESIA,SUMATERA SELATAN,PLANTATION,PT WAHANA LESTARI MAKMUR SUKSES,ADR,APRIL,ROYAL GOLDEN EAGLE / TANOTO,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,APRIL INTERNATIONAL ENTEPRISE PTE LTD,ROYAL GOLDEN EAGLE / TANOTO,SINGAPORE,BANGLADESH,1359.2187054920892,0.0,0.0,15984.989559694555,655.7216582977923,0.0,0.0,495.7180040147379,287.74163966574116,0.58819585269157,2.1762767880013305,6725.594171858287,ID-16,ID-WOOD-CONCESSION-0432,0.0,15984.989559694555,0.0,0.0
560,2022,INDONESIA,RIAU,PLANTATION,PT RIMBA MANDAU LESTARI,SINAR MAS,INDAH KIAT,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,GREAT CHAMP (L) BHD,UNKNOWN AFFILIATION,MALAYSIA,CHINA (MAINLAND),1354.8935130141715,0.0,0.0,20534.247135332356,379.28342453769255,1.346169486618661,0.0,282.62995343145167,366.9981167636549,29.901185437688763,278.2859772019577,6067.991795574394,ID-14,ID-WOOD-CONCESSION-0443,0.0,20534.247135332356,0.0,0.0
561,2022,MALAYSIA,UNKNOWN,IMPORT,GERAK SAGA SDN BHD (MALAYSIA),MERICA,APRIL,ROYAL GOLDEN EAGLE / TANOTO,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,INDONESIA,1353.4790372442912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6697.192602952303,ID-XX,ID-WOOD-CONCESSION-0034,0.0,0.0,0.0,0.0
562,2022,INDONESIA,KALIMANTAN BARAT,PLANTATION,PT MAYANGKARA TANAMAN INDUSTRI,SUMITOMO,APRIL,ROYAL GOLDEN EAGLE / TANOTO,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,APRIL INTERNATIONAL ENTEPRISE PTE LTD,ROYAL GOLDEN EAGLE / TANOTO,SINGAPORE,INDIA,1352.43720138589,0.0,0.0,59860.48092080342,5163.709665773281,2.741706703462229,0.0,856.426876186681,3954.114819511824,3209.690951760899,852.5746633004981,6692.020615919877,ID-61,ID-WOOD-CONCESSION-0287,0.0,59860.48092080342,0.0,0.0
563,2022,INDONESIA,RIAU,PLANTATION,PT ARARA ABADI,SINAR MAS,INDAH KIAT,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,GOLDEN PROFIT TRADING PTE LTD,SINAR MAS,SINGAPORE,TAIWAN,1351.269724539257,0.0,0.038356065921996,7324.8918816391215,324.43861920779597,0.2760460923455307,0.0,206.94193452514656,140.05553088277202,19.601131826541888,3.0608140605752867,6051.728026614328,ID-14,ID-WOOD-CONCESSION-0471,0.0,7324.929141817445,0.0,-0.0372601783242247
564,2022,INDONESIA,RIAU,PLANTATION,PT BINA DUTA LAKSANA,SINAR MAS,OKI,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,SUMATERA SELATAN,SUZHOU GUANBAO TRADING LTD,UNKNOWN AFFILIATION,CHINA (MAINLAND),CHINA (MAINLAND),1343.8499316840025,0.0,0.0,9390.984345878636,210.92847935939776,0.5788035627251521,0.0,129.79356995161768,188.1291069714097,56.281797587922554,90.9917809289027,6082.949693848856,ID-14,ID-WOOD-CONCESSION-0440,0.0,9390.984345878636,0.0,0.0
565,2022,INDONESIA,SUMATERA SELATAN,PLANTATION,PT BUMI PERSADA PERMAI,SINAR MAS,OKI,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,SUMATERA SELATAN,GOLDEN PROFIT TRADING PTE LTD,SINAR MAS,SINGAPORE,AUSTRALIA,1342.8021315839885,0.0115021141770635,0.0,-11.456105720355298,346.4494300702427,0.2017037805887928,0.0,225.31491461449792,0.0,5.264965564699522,12.151983628067642,6439.80943651143,ID-16,ID-WOOD-CONCESSION-0433,0.0,0.0,4.1867695604511335,-11.456105720355298
566,2022,INDONESIA,SUMATERA SELATAN,PLANTATION,PT BUMI PERSADA PERMAI,SINAR MAS,OKI,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,SUMATERA SELATAN,GREAT CHAMP (L) BHD,UNKNOWN AFFILIATION,MALAYSIA,AUSTRALIA,1342.8021315839885,0.0115021141770635,0.0,-11.456105720355298,346.4494300702427,0.2017037805887928,0.0,225.31491461449792,0.0,5.264965564699522,12.151983628067642,6439.80943651143,ID-16,ID-WOOD-CONCESSION-0433,0.0,0.0,4.1867695604511335,-11.456105720355298
567,2022,INDONESIA,SUMATERA SELATAN,PLANTATION,PT BUMI MEKAR HIJAU,SINAR MAS,OKI,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,SUMATERA SELATAN,GREAT CHAMP (L) BHD,UNKNOWN AFFILIATION,MALAYSIA,EGYPT,1329.6263790276396,0.0,0.0,17315.08123943243,654.1142443066747,0.0,0.0,277.49477582821856,480.4696118567332,12.008813026064372,7.921925418522119,6376.619394157103,ID-16,ID-WOOD-CONCESSION-0540,0.0,19780.92492923988,0.0,-2465.8436898074456
568,2022,INDONESIA,RIAU,PLANTATION,PT ARARA ABADI,SINAR MAS,INDAH KIAT,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,GOLDEN PROFIT TRADING PTE LTD,SINAR MAS,SINGAPORE,BANGLADESH,1310.3221571289764,0.0,0.0371937608940568,7102.925460983391,314.60714589846884,0.267681059244151,0.0,200.67096681226332,135.81142388632438,19.007158134828497,2.9680621193457326,5868.342328838136,ID-14,ID-WOOD-CONCESSION-0471,0.0,7102.961592065402,0.0,-0.0361310820113694
