,year,biome,country_of_production,product_type,zero_deforestation_bolivia_soy,province_of_production,municipality_of_production,port_of_export,exporter_group,importer_group,country,economic_bloc,volume,co2_gross_emissions_soy_deforestation_5_year_total_exposure,land_use,soy_deforestation_5_year_total_exposure,province_of_production_trase_id,municipality_of_production_trase_id
5633,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},CHIQUITOS,PAILON,DESAGUADERO,AGROTRAM SRL,MOLINORTE SAC,PERU,PERU,2.564036007324724,21.31877472591388,0.8394073344603088,0.0827611258923644,BO-0705,BO-070502
5634,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},VELASCO,SAN IGNACIO DE VELASCO,DESAGUADERO,AGROTRAM SRL,CENTRAL AGROPECUARIA EL MOLINO SAC,PERU,PERU,2.562227245103749,151.519323591439,0.8388151866627571,0.4779528678804372,BO-0703,BO-070301
5635,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},VELASCO,SAN IGNACIO DE VELASCO,DESAGUADERO,AGROTRAM SRL,HEXAGON SAC,PERU,PERU,2.562227245103749,151.519323591439,0.8388151866627571,0.4779528678804372,BO-0703,BO-070301
5636,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},VELASCO,SAN IGNACIO DE VELASCO,DESAGUADERO,AGROTRAM SRL,INVERSIONES OIGIMER EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - INVERSIONES OIGIMER EIRL,PERU,PERU,2.562227245103749,151.519323591439,0.8388151866627571,0.4779528678804372,BO-0703,BO-070301
5637,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,AGROINDUSTRIAS VARGAS GOMEZ GARCIA SRL,REPRESENTACIONES MESAJU SRL,PERU,PERU,2.562033842967355,3.920630772393007,0.8387518711822697,0.0202530954015052,BO-0711,BO-071104
5638,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},VELASCO,SAN IGNACIO DE VELASCO,DESAGUADERO,AGROINDUSTRIAS VARGAS GOMEZ GARCIA SRL,GRUPO HJ INVERSIONES EIRL,PERU,PERU,2.561170184322602,151.45681347066008,0.8384691288967466,0.477755685826098,BO-0703,BO-070301
5639,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},VELASCO,SAN IGNACIO DE VELASCO,DESAGUADERO,AGROINDUSTRIAS VARGAS GOMEZ GARCIA SRL,INVERSIONES HEREIN SAC,PERU,PERU,2.561170184322602,151.45681347066008,0.8384691288967466,0.477755685826098,BO-0703,BO-070301
5640,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},WARNES,WARNES,DESAGUADERO,AGROTRAM SRL,TRADING SEMILLA SAC,PERU,PERU,2.559963329858011,6.2236872462197645,0.8380740320703715,0.0247859431995311,BO-0702,BO-070201
5641,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,AGROTRAM SRL,CENTRAL AGROPECUARIA EL MOLINO SAC,PERU,PERU,2.5564966857767226,3.912157367979259,0.8369391312891487,0.0202093237030388,BO-0711,BO-071104
5642,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,AGROTRAM SRL,HEXAGON SAC,PERU,PERU,2.5564966857767226,3.912157367979259,0.8369391312891487,0.0202093237030388,BO-0711,BO-071104
