,year,biome,country_of_production,product_type,forest_500_soy,zero_deforestation_paraguay_soy,department,district_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob,land_use,soy_deforestation_5_year_total_exposure,department_trase_id
470,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN OIL,,{NONE},CAAZAPA,VILLETA,COMPANIA PARAGUAYA DE GRANOS,COMPANIA PARAGUAYA DE GRANOS,INDIA,INDIA,3843.95,2664070.32875264,1575.3510232819478,18.6431575,PY-06
471,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN OIL,3.0,"{""COMPANY COMMITMENT""}",ALTO PARANA,PRESIDENTE FRANCO,CARGILL AGROPECUARIA SACI,CARGILL,FRANCE,EUROPEAN UNION,3818.420000000001,2190405.5546037923,1694.3117853372703,4.200262000000001,PY-10
472,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN OIL,4.0,"{""COMPANY COMMITMENT""}",GUAIRA,VILLETA,ADM PARAGUAY,ADM,INDIA,INDIA,3816.2,2097049.961273018,1506.51105039646,37.20795,PY-04
473,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",GUAIRA,VILLETA,ADM PARAGUAY,ADM,THAILAND,THAILAND,3812.05,1103717.5518875378,1504.8727660143145,37.1674875,PY-04
474,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,,{NONE},CAAGUAZU,VILLETA,COMPANIA PARAGUAYA DE GRANOS,COMPANIA PARAGUAYA DE GRANOS,PERU,PERU,3807.6,1326340.3716579562,1531.5401619588658,21.32256,PY-05
475,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN OIL,,{NONE},SAN PEDRO,VILLETA,COMPANIA PARAGUAYA DE GRANOS,COMPANIA PARAGUAYA DE GRANOS,ALGERIA,ALGERIA,3796.42,2448393.5883873673,1565.9780214436548,78.58589399999998,PY-02
476,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN OIL,4.0,"{""COMPANY COMMITMENT""}",CAAZAPA,VILLETA,ADM PARAGUAY,ADM,SPAIN,EUROPEAN UNION,3744.37,2259854.4977479745,1534.5405406017835,18.1601945,PY-06
477,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",SAN PEDRO,VILLETA,ADM PARAGUAY,ADM,DENMARK,EUROPEAN UNION,3740.960000000001,1035733.9845309164,1543.1014321650018,77.437872,PY-02
478,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,VILLETA,MERCANTIL COMERCIAL (MERCO),LOUIS DREYFUS,PERU,PERU,3726.22,1348571.2073814413,1498.8064876285232,20.866831999999995,PY-05
479,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,,{NONE},CANINDEYU,VILLETA,COMPANIA PARAGUAYA DE GRANOS,COMPANIA PARAGUAYA DE GRANOS,ARGENTINA,ARGENTINA,3683.72,1233178.1813511802,1648.1348795669226,16.760926,PY-14
480,2019,CHACO HUMEDO,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",MISIONES,VILLETA,BUNGE PARAGUAY SA,BUNGE,ITALY,EUROPEAN UNION,3677.68,1167284.4695902625,2033.2192738013543,2.2066079999999997,PY-08
481,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,TOBATI,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,3649.36,1185603.5570006878,1467.8909038360664,20.436416,PY-05
482,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN OIL,3.0,"{""COMPANY COMMITMENT""}",SAN PEDRO,VILLETA,CARGILL AGROPECUARIA SACI,CARGILL,INDIA,INDIA,3646.269999999999,2253863.9466301138,1504.0429352519886,75.47778899999997,PY-02
483,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN RESIDUE,3.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,MINGA GUAZU,CARGILL AGROPECUARIA SACI,CARGILL,BRAZIL,BRAZIL,3600.91,351180.6002022873,1448.4027430925778,20.165095999999995,PY-05
484,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,1.0,{NONE},ALTO PARANA,SAN ANTONIO,SODRUGESTVO PARAGUAY SA,SODRUGESTVO,RUSSIAN FEDERATION,RUSSIAN FEDERATION,3595.0,1255408.596044231,1595.1757188280717,3.9545,PY-10
